label,Number of vcis,Operation Type,Message size,Number of entities,Number of communicators,Total message rates,Total bandwidth
pth_novci_1comm,20,PT2PT,1,12,1,0.2663,0.2663
pth_vciopt_Ncomm,20,PT2PT,1,12,12,13.111,13.111
pth_vciopt_Ncomm_nolock,20,PT2PT,1,12,12,14.7565,14.7565
abt_vci_1comm_Nes,20,PT2PT,1,12,1,2.4736,2.4736
abt_vci_Ncomm_Nes,20,PT2PT,1,12,12,14.6969,14.6969
proc,20,PT2PT,1,13,1,38.7503,38.7503
pth_novci_1comm,20,PT2PT,1,13,1,0.2723,0.2723
pth_vciopt_Ncomm,20,PT2PT,1,13,12,7.0165,7.0165
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,13,1,2.104,2.104
abt_vci_Ncomm_Nes,20,PT2PT,1,13,12,16.584,16.584
proc,20,PT2PT,1,14,1,43.4637,43.4637
pth_novci_1comm,20,PT2PT,1,14,1,0.277,0.277
pth_vciopt_Ncomm,20,PT2PT,1,14,12,5.1236,5.1236
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,14,1,2.0693,2.0693
abt_vci_Ncomm_Nes,20,PT2PT,1,14,12,11.0128,11.0128
proc,20,PT2PT,1,15,1,47.4462,47.4462
pth_novci_1comm,20,PT2PT,1,15,1,0.284,0.284
pth_vciopt_Ncomm,20,PT2PT,1,15,12,5.9827,5.9827
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,15,1,1.9427,1.9427
abt_vci_Ncomm_Nes,20,PT2PT,1,15,12,19.9378,19.9378
proc,20,PT2PT,1,16,1,47.3581,47.3581
pth_novci_1comm,20,PT2PT,1,16,1,0.2644,0.2644
pth_vciopt_Ncomm,20,PT2PT,1,16,12,5.4422,5.4422
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,16,1,2.2691,2.2691
abt_vci_Ncomm_Nes,20,PT2PT,1,16,12,12.2788,12.2788
proc,20,PT2PT,4,1,1,3.8337,15.3348
pth_novci_1comm,20,PT2PT,4,1,1,4.6972,18.7888
pth_vciopt_Ncomm,20,PT2PT,4,1,12,5.0873,20.3491
pth_vciopt_Ncomm_nolock,20,PT2PT,4,1,12,4.0062,16.0249
abt_vci_1comm_Nes,20,PT2PT,4,1,1,5.1697,20.6787
abt_vci_Ncomm_Nes,20,PT2PT,4,1,12,4.5591,18.2363
proc,20,PT2PT,4,2,1,7.9409,31.7638
pth_novci_1comm,20,PT2PT,4,2,1,1.2913,5.1654
pth_vciopt_Ncomm,20,PT2PT,4,2,12,3.4604,13.8415
pth_vciopt_Ncomm_nolock,20,PT2PT,4,2,12,6.3515,25.4059
abt_vci_1comm_Nes,20,PT2PT,4,2,1,3.523,14.092
abt_vci_Ncomm_Nes,20,PT2PT,4,2,12,4.3354,17.3416
proc,20,PT2PT,4,3,1,11.1177,44.4708
pth_novci_1comm,20,PT2PT,4,3,1,0.5348,2.1393
pth_vciopt_Ncomm,20,PT2PT,4,3,12,6.8029,27.2118
pth_vciopt_Ncomm_nolock,20,PT2PT,4,3,12,8.6295,34.5182
abt_vci_1comm_Nes,20,PT2PT,4,3,1,1.4804,5.9215
abt_vci_Ncomm_Nes,20,PT2PT,4,3,12,5.5828,22.3313
proc,20,PT2PT,4,4,1,15.5809,62.3238
pth_novci_1comm,20,PT2PT,4,4,1,0.4984,1.9936
pth_vciopt_Ncomm,20,PT2PT,4,4,12,8.7977,35.1907
pth_vciopt_Ncomm_nolock,20,PT2PT,4,4,12,9.2103,36.8412
abt_vci_1comm_Nes,20,PT2PT,4,4,1,3.0313,12.1252
abt_vci_Ncomm_Nes,20,PT2PT,4,4,12,5.2967,21.1869
proc,20,PT2PT,4,5,1,17.5395,70.1581
pth_novci_1comm,20,PT2PT,4,5,1,0.3613,1.445
pth_vciopt_Ncomm,20,PT2PT,4,5,12,5.7013,22.8051
pth_vciopt_Ncomm_nolock,20,PT2PT,4,5,12,8.0871,32.3482
abt_vci_1comm_Nes,20,PT2PT,4,5,1,2.0447,8.1789
abt_vci_Ncomm_Nes,20,PT2PT,4,5,12,6.2855,25.1421
proc,20,PT2PT,4,6,1,20.251,81.0041
pth_novci_1comm,20,PT2PT,4,6,1,0.3415,1.3661
pth_vciopt_Ncomm,20,PT2PT,4,6,12,6.8459,27.3838
pth_vciopt_Ncomm_nolock,20,PT2PT,4,6,12,8.0424,32.1697
abt_vci_1comm_Nes,20,PT2PT,4,6,1,1.8646,7.4585
abt_vci_Ncomm_Nes,20,PT2PT,4,6,12,9.1994,36.7974
proc,20,PT2PT,4,7,1,26.7297,106.9189
pth_novci_1comm,20,PT2PT,4,7,1,0.2951,1.1804
pth_vciopt_Ncomm,20,PT2PT,4,7,12,7.2073,28.8292
pth_vciopt_Ncomm_nolock,20,PT2PT,4,7,12,11.5209,46.0838
abt_vci_1comm_Nes,20,PT2PT,4,7,1,2.2917,9.167
abt_vci_Ncomm_Nes,20,PT2PT,4,7,12,9.8247,39.2988
proc,20,PT2PT,4,8,1,27.1323,108.5293
pth_novci_1comm,20,PT2PT,4,8,1,0.3008,1.2032
pth_vciopt_Ncomm,20,PT2PT,4,8,12,8.4716,33.8864
pth_vciopt_Ncomm_nolock,20,PT2PT,4,8,12,10.3437,41.3746
abt_vci_1comm_Nes,20,PT2PT,4,8,1,2.0752,8.3008
abt_vci_Ncomm_Nes,20,PT2PT,4,8,12,10.4789,41.9155
proc,20,PT2PT,4,9,1,32.735,130.9399
pth_novci_1comm,20,PT2PT,4,9,1,0.2744,1.0974
pth_vciopt_Ncomm,20,PT2PT,4,9,12,8.9415,35.766
pth_vciopt_Ncomm_nolock,20,PT2PT,4,9,12,11.1775,44.7098
abt_vci_1comm_Nes,20,PT2PT,4,9,1,1.8519,7.4074
abt_vci_Ncomm_Nes,20,PT2PT,4,9,12,16.4236,65.6944
proc,20,PT2PT,4,10,1,35.9565,143.826
pth_novci_1comm,20,PT2PT,4,10,1,0.2806,1.1224
pth_vciopt_Ncomm,20,PT2PT,4,10,12,9.9656,39.8624
pth_vciopt_Ncomm_nolock,20,PT2PT,4,10,12,12.6465,50.5859
abt_vci_1comm_Nes,20,PT2PT,4,10,1,1.923,7.6921
abt_vci_Ncomm_Nes,20,PT2PT,4,10,12,11.63,46.5199
proc,20,PT2PT,4,11,1,38.5608,154.2434
pth_novci_1comm,20,PT2PT,4,11,1,0.271,1.0839
pth_vciopt_Ncomm,20,PT2PT,4,11,12,11.5054,46.0214
pth_vciopt_Ncomm_nolock,20,PT2PT,4,11,12,13.6731,54.6924
abt_vci_1comm_Nes,20,PT2PT,4,11,1,2.2307,8.9227
abt_vci_Ncomm_Nes,20,PT2PT,4,11,12,14.3508,57.403
